,"Мощность активная потребленная, кВт",Год,Месяц,День,Час,День недели,Праздник ли это
464,5.32858394977481,2022,1,20,9,4,0
465,6.02625104911179,2022,1,20,10,4,0
466,5.71636913650306,2022,1,20,11,4,0
467,5.8011971460998595,2022,1,20,12,4,0
468,5.23510002083139,2022,1,20,13,4,0
469,5.06890636937643,2022,1,20,14,4,0
470,5.1485408273652595,2022,1,20,15,4,0
471,5.12257306932543,2022,1,20,16,4,0
472,4.49588450863066,2022,1,20,17,4,0
473,4.5218522666705,2022,1,20,18,4,0
474,4.51492753119321,2022,1,20,19,4,0
475,4.4768414860681105,2022,1,20,20,4,0
476,4.6066802762673,2022,1,20,21,4,0
477,4.71055130842666,2022,1,20,22,4,0
478,4.78672339867685,2022,1,20,23,4,0
479,4.6222609310911995,2022,1,21,0,4,0
480,4.80749760510872,2022,1,21,1,5,0
481,5.0031213823421705,2022,1,21,2,5,0
482,5.2593365950018995,2022,1,21,3,5,0
483,6.79316550322168,2022,1,21,4,5,0
484,9.7119415068995,2022,1,21,5,5,0
485,9.33627460725651,2022,1,21,6,5,0
486,9.16142503645493,2022,1,21,7,5,0
487,9.42283380072263,2022,1,21,8,5,0
488,8.10540287616817,2022,1,21,9,5,0
489,9.09217768168203,2022,1,21,10,5,0
490,8.872317330278062,2022,1,21,11,5,0
491,8.86366141093145,2022,1,21,12,5,0
492,8.08635985360563,2022,1,21,13,5,0
493,7.30732711241048,2022,1,21,14,5,0
494,7.04938071588142,2022,1,21,15,5,0
495,6.31362757141933,2022,1,21,16,5,0
496,4.613605011744591,2022,1,21,17,5,0
497,4.5495512085796594,2022,1,21,18,5,0
498,4.65342224073901,2022,1,21,19,5,0
499,4.70189538908004,2022,1,21,20,5,0
500,4.59629317305137,2022,1,21,21,5,0
501,4.61706737948324,2022,1,21,22,5,0
502,4.82307825993262,2022,1,21,23,5,0
503,4.92521810822265,2022,1,22,0,5,1
504,4.84904601797246,2022,1,22,1,6,1
505,5.053325714552519,2022,1,22,2,6,1
506,5.546713117309441,2022,1,22,3,6,1
507,6.36729427136833,2022,1,22,4,6,1
508,8.87058614640875,2022,1,22,5,6,1
509,8.33565033078808,2022,1,22,6,6,1
510,8.22312337928211,2022,1,22,7,6,1
511,8.57109133701594,2022,1,22,8,6,1
512,7.22769265442165,2022,1,22,9,6,1
513,8.352962169481291,2022,1,22,10,6,1
514,7.9876823730542394,2022,1,22,11,6,1
515,7.698574666877381,2022,1,22,12,6,1
516,7.632789679843119,2022,1,22,13,6,1
